"H","20","branche","GI04","2","-1","-5","5","-5","2","5","2","5","5","17",,"20:00:00","21:30:00","20","Oui","Mardi, Mercredi, Jeudi, Vendredi","4","2"
"F","24","branche","GI04","0","2","2","-1","-5","5","-1","5","2","5","30",,"19:00:00","22:15:00","15","Non","Mardi, Mercredi, Jeudi","4","6"
"H","20","branche","GSM02","5","0","2","5","2","5","5","0","0","5","20",,"19:30:00","22:00:00","4","Non","Jeudi, Vendredi","1","4"
"F","22","branche","GI04","0","2","2","2","-5","0","2","5","5","5","20",,"20:00:00","22:00:00","10","Oui","Lundi, Mardi, Mercredi, Jeudi, Vendredi","3","9"
"F","21","branche","GB06","5","0","-5","0","-1","0","0","-5","0","0","30",,"20:00:00","22:00:00","5","Non","Jeudi, Vendredi","2","3"
"H","21","branche","GSU04","2","2","2","2","5","2","-1","2","2","5","30",,"19:00:00","22:00:00","6","Non","Lundi, Mardi, Mercredi, Jeudi, Vendredi","3","5"
"F","18","tronc commun","TC01","0","0","0","0","2","0","5","0","0","5","15",,"18:30:00","20:30:00","6","Non","Jeudi","3","2"
"F","20","tronc commun","TC04","0","-1","2","5","-5","5","-1","-1","2","5","30",,"18:30:00","21:03:00","10","Non","Lundi, Mardi, Vendredi","4","4"
"H","21","branche","GI02","0","2","2","5","-1","-1","2","-1","5","5","20",,"20:00:00","22:00:00","15","Non","Lundi, Mardi, Mercredi, Jeudi, Vendredi","3","6"
"H","22","branche","GM02","-1","2","2","5","5","0","5","2","2","0","20",,"20:30:00","22:00:00","10","Oui","Mercredi","3","4"
"H","23","branche","GB04","5","2","0","0","5","2","0","2","2","5","20",,"19:00:00","22:00:00","5","Oui","Jeudi, Vendredi","1","9"
"F","19","tronc commun","TC04","5","0","0","0","-5","0","0","0","0","0","10",,"19:30:00","21:30:00","5","Non","Jeudi","3","6"
"H","22","branche","GI04","0","2","2","-1","-5","5","0","5","2","2","15",,"19:00:00","21:00:00","4","Non","Mardi, Jeudi, Vendredi","4","4"
"F","19","tronc commun","TC02","0","0","0","2","2","0","5","5","2","5","20",,"20:00:00","21:15:00","8","Oui","Mardi, Jeudi, Vendredi","3","4"
"F","18","tronc commun","TC02","5","2","0","0","2","2","2","0","0","5","30",,"19:30:00","22:15:00","15","Non","Jeudi, Vendredi","3","10"
"F","19","branche","GP03","2","0","0","2","5","5","-1","-1","2","2","30",,"19:15:00","22:30:00","10","Non","Jeudi, Vendredi","2","4"
"F","23","branche","GI04","0","0","2","5","-1","0","2","2","2","2","20",,"20:00:00","22:00:00","15","Oui","Jeudi, Vendredi","3","6"
"H","18","tronc commun","TC01","5","0","2","0","5","0","5","0","5","5","20",,"20:00:00","22:00:00","7","Non","Lundi, Mardi, Mercredi, Vendredi","1","2"
"F","20","tronc commun","TC04","2","-1","5","-5","-5","-1","2","2","2","5","30",,"18:30:00","21:00:00","9","Non","Lundi, Jeudi, Vendredi","2","4"
"H","21","branche","GSU02","0","-1","-1","-1","0","5","2","-1","0","5","20",,"19:30:00","22:00:00","10","Non","Lundi, Mercredi, Vendredi","2","4"
"H","20","branche","GM01","0","5","-1","5","-5","5","2","5","2","2","20",,"20:30:00","22:15:00","12","Non","Lundi, Mercredi, Jeudi, Vendredi","4","6"
"F","21","branche","GB04","2","2","2","5","0","5","5","2","5","5","10",,"20:00:00","23:00:00","5","Oui","Jeudi, Vendredi","4","10"
"H","21","branche","GM04","2","-1","-1","5","-5","2","2","5","2","2","25",,"20:00:00","22:00:00","15","Non","Lundi, Jeudi, Vendredi","4","4"
"H","21","branche","GM04","2","5","-1","5","-5","2","5","5","5","5","30",,"20:00:00","22:00:00","15","Oui","Lundi, Mercredi, Jeudi","4","10"
"F","17","hutech","GI04","0","5","0","2","-5","0","2","0","5","2","30",,"18:30:00","20:00:00","5","Non","Mercredi, Jeudi, Vendredi","1","3"
"F","19","tronc commun","TC04","5","0","0","5","5","0","-1","0","2","2","20",,"20:00:00","22:00:00","5","Oui","Jeudi, Vendredi","2","5"
"F","19","tronc commun","TC02","0","0","0","0","5","0","0","0","0","0","12",,"19:30:00","22:00:00","5","Non","Mardi","2","6"
"F","18","tronc commun","TC02","5","5","2","5","-5","-1","2","-1","2","5","20",,"19:45:00","22:00:00","15","Oui","Lundi, Mardi, Mercredi, Jeudi, Vendredi","5","5"
"H","19","tronc commun","TC04","0","2","-1","0","2","5","0","0","2","5","30",,"20:00:00","22:15:00","5","Non","Jeudi, Vendredi","3","5"
